NAF 1st Class,NAF 2nd Class,Description
19,20Z,"Fabricant lubrifiants industriels, lubrifiants industriels, lubrifiants découpe, lubrifiant emboutissage, lubrifiant découpage, lubrifiant formage, lubrifiant calibrage, lubrifiant estampage, lubrifiant cambrage, lubrifiant profilage, lubrifiant matriçage, lubrifiant poinçonnage, fluides d'usinage, lubrifiants d'usinage, fluide soluble, huile entière, fluides de coupe, huile de coupe, décolletage, usinage, fraisage, perçage, taraudage, filetage, taillage, rectification, rodage, tournage, forage, sciage, brochage, shaving, alésage, usinage TGV, usinage UGV, affûtage, microlubrification, micro-lubrification, lubrifiant évanescent, lubrifiant sans COV, huiles végétale, lubrifiant végétal, huile entière végétale, lubrifiant sans chlore, lubrifiant biodégradable, huile de coupe, lubrifiant de coupe, suivi technique, assistance technique, suivi analytique"
19,20Z,"Être fabricant, c’est avoir la maîtrise de sa qualité, de ses stocks, et de son expertise dans l’univers des lubrifiants et fluides."
19,20Z,"Avec des lignes de production entièrement automatisées, des chaînes de conditionnement robotisées, et une surveillance humaine de chaque instant, nous sommes à la pointe de la production de lubrifiants. "
19,20Z,"Que vous soyez spécifiquement sur le marché du lubrifiant mécanique, ou que vous souhaitiez développer votre Marque De Distribution, nous avons les clefs de votre réussite."
19,20Z,ACCOR Lubrifiants – Des stocks emballages pour lancer immédiatement une production sur n’importe quel produit
19,20Z,ACCOR Lubrifiants – Une production par zones optimisées nous permet de mieux préserver les qualités de nos bases et additifs au cours de la transformation
19,20Z,"ACCOR Lubrifiants – Nous lançons les fabrications les plus complexes, grâce à nos 8 mélangeurs de 11 têtes chacun"
19,20Z,Huile 100 % synthèse de haute technologie destinée aux moteurs de dernière génération des véhicules de tourisme
19,20Z,"Depuis 1983, ACCOR lubrifiants s'est spécialisée dans la conception et la fabrication de lubrifiants pour tous types de véhicules, pour l'industrie, et l'agriculture."
19,20Z,"Nous produisons également une large palette de produits spécifiques, de graisses, de liquides de refroidissement, d'antigels ou de liquides de freins."
19,20Z,"Notre implication en compétitions d'endurance a 2 conséquences : nos produits sont de haute qualité, et leur constance est vérifiée."
19,20Z,"Alors même si votre lubrifiant vieillit à l'usage, vous avez la garantie que ses propriétés restent optimales jusqu'à son remplacement."
19,20Z,Producteur de plus de 5000 tonnes/an de graisses industrielles et de lubrifiants pour les industriels de l'agro-alimentaire
19,20Z,leader de la sous-traitance des graisses industrielles
19,20Z,"L'entreprise est leader sur des marchés spécialisés tels que les graisses pour le nucléaire, des graisses Biodégradables pour les coussinets d’aiguillages pour la SNCF, des graisses et lubrifiants destinés à l’agro-alimentaire."
19,20Z,"Notre clientèle est constituée d'industriels du graissage et de distributeurs de lubrifiants et graisses pour l’industrie automobile, d'entreprises de la sidérurgie, des travaux publics, de l'agriculture et de l'agro-alimentaire."
19,20Z,Le leader européen de la fabrication des graisses industrielles et lubrifiants pour l'industrie agroalimentaire
19,20Z,Plus de 30 ans de savoir-faire ont fait de Durand Production un leader sur le marché des fluides.
19,20Z,"Grâce à notre site de production et notre laboratoire d’expertise à Harnes (Hauts-de-France),"
19,20Z,"nous travaillons sur tous les fluides adaptés, tels que les liquides de refroidissement, les lave-glaces, les lubrifiants"
19,20Z,Création de Durand Frères. Vente de carburants et lubrifiants automobile.
19,20Z,Mise en place de la production de lubrifiants automobiles sur le site de Harnes qui vient d’être acquis.
19,20Z,"Notre société experte en formulation, production et commercialisation de lubrifiants et huiles moteur vous propose des produits adaptés à la gamme de véhicules"
19,20Z,"Compagnie Franco Continentale Des Lubrifiants résident dans 29 Rue De L Ecole Normale, 33200 Bordeaux, France; raffinage du pétrole."
19,20Z,Les Fluides Spéciaux de TotalEnergies opèrent sur le marché des fluides spéciaux hydrocarbonés.
19,20Z,Nous fabriquons et commercialisons des solvants aromatiques et non aromatiques pour l’industrie.
19,20Z,Notre technologie d’Hydro De-Aromatisation (HDA) et nos coupes de distillation étroites nous permettent de produire des solvants de grande pureté à très faible teneur en aromatiques dans nos usines d’Oudalle en France et Bayport aux Etats-Unis.
19,20Z,L’hydrogénation sous haute pression qui sature complètement les molécules aromatiques et conduit à des produits de très haute pureté
19,20Z,"Une distillation en coupes étroites qui fournit des fluides adaptés aux exigences du client en termes de point d’éclair, de viscosité, de point d’écoulement et de pouvoir solvant."
19,20Z,Une combinaison gagnante alliant pureté et performance destinée aux lubrifiants et fluides pour le travail des métaux
19,20Z,"Conçue à partir d’un choix innovant de matières premières, notre gamme d’huiles de base de haute performance et faible viscosité figure parmi les plus pures du marché."
19,20Z,la gamme est également entièrement compatible avec tous les types d’huiles de base et peut être utilisée pour ajuster la viscosité de vos formulations.
19,20Z,"BERYLANE BIOLIFE est une nouvelle génération d’huiles de base écoresponsables, formulées spécialement pour les industriels souhaitant réduire leur impact sur l’environnement tout en maintenant un très haut niveau de performance."
19,20Z,IGOL propose aussi une gamme complète de lubrifiants et de produits spéciaux adaptés à tous les besoins de l’Industrie.
19,20Z,Igol fabricant de lubrifiant est présent dans plus de 30 pays dans le monde et commercialise plus de 30.000.000 de litres par an.
19,20Z,la recherche sur les fluides hydrauliques biodégradables
19,20Z,la mise au point d’un lubrifiant réalisé à partir de produits végétaux pour l’industrie agro-alimentaire
19,20Z,"une gamme complète de Lubrifiants et huiles automobile, huile moto & scooter, nautisme, marine pro, industrie huile entière, industrie huile soluble, graisses, industrie agro-alimentaire, maintenance"
19,20Z,Lubrifiant 100 % Synthétique conçu pour répondre à la nouvelle spécification Renault RN17.
19,20Z,IGOL présente la nouvelle génération de sa gamme de lubrifiants. Développée pour les deux roues. PROPULS PERFORMANCE et PROPULS EVOLUTION !
19,20Z,Le partenariat d’IGOL dans le sport et la compétition automobile a toujours été important.
19,20Z,C’est là un formidable laboratoire pour tester un grand nombre de produits issus du département recherches et développements.
19,20Z,IGOL RACE FACTORY est l’exemple type d’une gamme dédiée au monde de la compétition avec des lubrifiants moteur destinés à servir l’hyper performance des voitures de rallye et de courses évoluant dans des conditions les plus sévères
19,20Z,Voilà la raison pour laquelle IGOL présente sa nouvelle gamme de lubrifiants moteur dédiés au monde de l’automobile d’aujourd’hui et de demain.
19,20Z,Lubrifiants spécialement adaptés à la compétition.
19,20Z,Lubrifiants haut de gamme préservant les garanties constructeurs et répondant aux dernières normes ACEA.
19,20Z,Lubrifiants de niveau équivalent aux recommandations des constructeurs.
19,20Z,"Le savoir-faire IGOL, des lubrifiants dédiés aux véhicules anciens."
19,20Z,"Issue de l’expérience des rallyes et testée dans les conditions les plus sévères, cette nouvelle gamme de lubrifiants IGOL RACE FACTORY est destinée à servir l’hyper performance des véhicules sportifs et de très haut de gamme : racés, musclés, taillés pour les défis."
19,20Z,"Lubrifiant multigrade hautes performances, haute protection…"
19,20Z,"Les véhicules modernes ont besoin de lubrifiants moteur qui répondent aux homologations des constructeurs, mais qui permettent surtout d’entretenir et voire même d’améliorer les performances et la durée de vie du moteur."
19,20Z,la gamme d’huile PROFIVE est le fruit de notre bureau recherche et développement qui apporte sans cesse les réponses techniques aux défis des constructeurs les plus exigeants.
19,20Z,bénéficie des dernières innovations technologiques en matière de lubrification moteur
19,20Z,Elle confère un niveau de protection mécanique exceptionnel et combine parfaitement performances et fuel economy (économie de carburant).
19,20Z,Résistance accrue à l’oxydation assurant les intervalles de vidange maximum préconisés par le groupe Volkswagen
19,20Z,ses propriétés multi-constructeur lui offrent les possibilités d’être employées dans de nombreuses situations où un lubrifiant haut de gamme est nécessaire.
19,20Z,"Développée pour les moteurs de dernières générations de la marque OPEL, sa formulation spécifique favorise les économies de carburant et possède également de très bonnes propriétés à basse température."
19,20Z,Thevenin & Ducrot se veut être un fournisseur fiable. Nous nous efforçons de fournir des produits pétroliers de qualité répondant aux normes Françaises et aux contraintes REACH.
19,20Z,Cette filiale est en charge des activités de raffinage et permet au groupe Esso d’être le deuxième raffineur français avec près de 30 % de la capacité active de raffinage en France.
19,20Z,Esso Raffinage S.A.S. opère dans les deux raffineries françaises du groupe Esso :
19,20Z,"Issue de l'intégration des raffineries Esso de Port-Jérôme et Mobil de Gravenchon, ce site représente, avec la chimie, la plus importante plateforme pétrochimique du groupe ExxonMobil en Europe de par sa taille et sa complexité."
19,20Z,"Depuis 1933, la 1re raffinerie française du groupe produit, pour le marché français et l’exportation, toute une gamme de produits issus du pétrole"
19,20Z,La raffinerie Esso a été le premier établissement industriel à s'installer sur le site industriel de Fos-sur-Mer (Bouches-du-Rhône) en 1965
19,20Z,"Depuis 1965, la 2e raffinerie du groupe Esso en France, joue un rôle industriel important dans le sud du pays."
19,20Z,"Ainsi, depuis 10 ans c’est une moyenne de 20 millions d’euros par an que la raffinerie a investis tant pour des projets de nature réglementaire que pour les projets non réglementaires permettant d’améliorer la compétitivité du site."
19,20Z,Le raffinage du pétrole est la transformation du pétrole brut en produits pétroliers finis.
19,20Z,"Sans transformation, le pétrole brut ne possèderait aucune utilité."
19,20Z,"Dans nos deux raffineries, nous transformons le pétrole brut en produits indispensables aux activités de la vie courante comme le transport, le chauffage ou encore la cuisine."
19,20Z,"Avec nos deux raffineries de Gravenchon et de Fos-sur-Mer, nous possédons un outil industriel de premier plan qui permet à Esso d’atteindre une capacité de raffinage de près de 19 millions de tonnes par an. Les chiffres clés de nos raffineries (2015)"
19,20Z,"Gaz, essence, plastique, solvant, tissu, synthétique, détergent, kérosène… tous ces produits et bien plus encore sont issus du processus de raffinage."
19,20Z,"Ce processus est complexe et comprend trois types de transformation : la distillation, la conversion des composants, le traitement des composants"
19,20Z,La raffinerie de Dunkerque (Nord) est spécialisée dans la production de bases pour huiles et lubrifiants.
19,20Z,"Elle est gérée depuis 2001 par la Société de la Raffinerie de Dunkerque (SRD) et se spécialise dans les lubrifiants, bitume et paraffine. "
19,20Z,"Après la construction de la raffinerie des Flandres par Total en 1974, la première raffinerie de Dunkerque ne conservera que la fabrication de lubrifiants (à partir de 1981)."
6,,Les géologues utilisent des études sismiques pour rechercher des structures géologiques qui peuvent abriter des réservoirs de pétrole.
6,,La méthode «classique» consiste à faire exploser une charge explosive souterraine à proximité et observer la réponse sismique qui fournit des informations sur les structures géologiques souterraines
6,,"Cependant, il existe aussi des méthodes «passives» qui extraient des informations à partir des ondes sismiques naturelles"
6,,D’autres instruments tels que des gravimètres et des magnétomètres sont parfois aussi utilisés dans la recherche de pétrole parfois accompagnés de mesures nucléaires d'un flux de neutrons issu d'un matériau comme le californium
6,,"En mer, la sismique réflexion permet d'imager le piège géologique potentiel."
6,,Cette approche est complétée lors du forage des puits d'exploration par des diagraphies dont les résultats (notamment les mesures de conductivité électrique) permettent de caractériser la présence ou non d'hydrocarbures dans le sous-sol et plus particulièrement dans le piège (aspect pétrologique : électro-facies)
6,,L'extraction du pétrole brut commence normalement par le forage d’un puits dans le réservoir souterrain.
6,,"Historiquement, aux États-Unis, il existait certains champs de pétrole où le pétrole affleurait naturellement à la surface, mais la plupart de ces champs ont depuis longtemps été exploités et épuisés, sauf dans certains endroits en Alaska."
6,,"Souvent, de nombreux puits (appelés puits multilatéraux) sont forés dans le même réservoir, de sorte que le taux d'extraction soit économiquement viable."
6,,"En outre, certains puits (puits secondaires) peuvent être utilisés pour pomper l'eau, la vapeur, des acides ou divers mélanges de gaz dans le réservoir pour augmenter ou maintenir la pression du réservoir, et ainsi de maintenir un taux d'extraction économiquement viable."
6,,L'extraction de pétrole est le processus par lequel le pétrole utilisable est extrait et retiré du sous sol.
6,,Le puits de pétrole est créé par le forage d'un long trou dans le sol à partir d’une plate-forme pétrolière.
6,,"Un tuyau d'acier est placé dans le trou, pour assurer l'intégrité structurelle du nouveau puits foré."
6,,Des trous sont ensuite effectués dans la base du puits pour permettre au pétrole de traverser le tubage.
6,,"Enfin une collection de vannes appelée ""Arbre de Noël"" est monté sur le dessus, afin de réguler les pressions et de contrôler les débits."
6,,"Pendant la phase de récupération primaire, le pilotage du réservoir dépend d'un certain nombre de mécanismes naturels."
6,,"l'expansion du gaz naturel au sommet du réservoir,"
6,,"Il s’agit notamment: de l’eau naturelle déplaçant le pétrole vers la base du puits,"
6,,l'expansion des gaz initialement dissous dans le pétrole brut
6,,Le drainage gravitaire résultant du mouvement du pétrole dans le réservoir de la partie supérieure vers les parties inférieures où se trouvent les puits
6,,"Le taux de récupération au cours de l'étape de récupération primaire est typiquement de 5 à 15%5 voire de 25 à 30%6 (les chiffres dépendent de la qualité du gisement, plus il est riche en gaz plus la récupération primaire sera importante)"
6,,"Tant que la pression souterraine dans le réservoir de pétrole est suffisante pour forcer le pétrole vers la surface, "
6,,il est seulement nécessaire de placer un agencement complexe de vannes (l'arbre de Noël) sur la tête de puits pour raccorder le puits à un réseau de canalisations vers des systèmes de stockage et de traitement.
6,,"Parfois, des pompes, comme des pompes à balancier et des pompes électriques submersibles, sont utilisés pour amener le pétrole à la surface."
6,,"Au cours de la durée de vie du puits, la pression va chuter, et à un moment donné, la pression souterraine sera insuffisante pour forcer la migration du pétrole vers la surface."
6,,Les méthodes de récupération secondaire sont alors appliquées.
6,,Elles s’appuient sur la fourniture d'énergie externe dans le réservoir en d'injectant des fluides pour augmenter la pression du réservoir.
6,,"Les techniques de récupération secondaire augmentent la pression du réservoir par injection d'eau, la réinjection de gaz naturel et d'extraction par injection de gaz, qui injecte de l'air, du dioxyde de carbone ou un autre gaz dans le fond d'un puits actif"
6,,ce qui réduit la densité globale de fluide dans le puits de forage
6,,"Le taux typique de récupération provenant de l'exploitation via l’injection d'eau est d'environ 30%, en fonction des propriétés du pétrole et des caractéristiques de la roche mère."
6,,"En moyenne, le taux de récupération après les opérations de récupération du pétrole primaires et secondaires se situe entre 35 et 45%"
6,,"Le processus d'injection nécessite de l’énergie, mais l'installation de turbines à gaz sur les plates-formes au large nécessite l'arrêt du processus d'extraction, et donc de perdre des revenus précieux"
6,,L’amélioration des méthodes de récupération du pétrole ou récupération tertiaire augmente la mobilité du pétrole afin d'augmenter son taux d’extraction.
6,,"Les méthodes thermiques de récupération de pétrole sont des techniques de récupération tertiaire consistant à chauffer le pétrole, réduisant ainsi sa viscosité et le rendant plus facile à extraire."
6,,L'injection de vapeur est la méthode thermique la plus courante et est souvent réalisée avec une centrale de cogénération.
6,,"Dans ce type de centrale (à cogénération), une turbine à gaz est utilisée pour produire de l'électricité et de la chaleur perdue est utilisée pour produire de la vapeur, qui est ensuite injectée dans le réservoir."
6,,"Cette méthode de récupération est largement utilisée pour augmenter l'extraction de pétrole dans la vallée de San Joaquin qui a du pétrole très lourd, mais qui représente 10 % de l'extraction de pétrole des États-Unis. "
6,,La récupération assistée du pétrole consiste en la mise en œuvre de diverses techniques pour augmenter la quantité de pétrole brut qui peut être extraite à partir d'un gisement de pétrole.
6,,La récupération assistée du pétrole est aussi appelée la récupération améliorée du pétrole ou récupération tertiaire (par opposition à la récupération primaire et secondaire).
6,,"Selon le Département américain de l'énergie, il y a trois techniques principales pour la RAP: la récupération thermique, l’injection de gaz, et l'injection chimique"
6,,"Parfois, le terme récupération quaternaire est utilisé pour se référer à des techniques plus avancées et spéculatives de RAP"
6,,"Occasionnellement, des agents tensioactifs (détergents) sont injectés dans le réservoir afin de modifier la tension superficielle entre l'eau et le pétrole, libérant du pétrole qui, autrement, resterait dans le réservoir sous forme de pétrole résiduel"
6,,Un autre procédé pour réduire la viscosité est l’injection de dioxyde de carbone.
6,,La récupération tertiaire permet de récupérer 5 % à 15 % de pétrole supplémentaire du réservoir
6,," Dans certains champs de pétrole lourd californien, l'injection de vapeur a doublé ou même triplé les réserves de pétrole et la récupération du pétrole ultime"
6,,"La récupération tertiaire commence quand la récupération secondaire du pétrole ne permet plus de poursuivre l'extraction, mais seulement lorsque le pétrole peut encore être extrait de façon rentable"
6,,Cela dépend du coût de la méthode d'extraction et du prix actuel du pétrole brut
6,,"Lorsque les prix sont élevés, les puits qui étaient non rentables sont remis en service et quand ils sont faibles, l'extraction est réduite"
6,,Les traitements microbiens sont une autre méthode de récupération tertiaire.
6,,"Des mélanges spéciaux des microbes sont utilisés pour traiter et briser les chaînes hydrocarbonées du pétrole, ce qui rend le pétrole plus facile à récupérer tout en étant plus économique par rapport aux autres méthodes conventionnelles."
6,,"Dans certains États, comme le Texas, il y a des incitations fiscales pour utiliser ces microbes dans ce qu'on appelle une récupération tertiaire secondaire."
6,,"La quantité de pétrole qui est récupérable est déterminée par un certain nombre de facteurs, dont la perméabilité des roches, la force de pressions naturelles (gaz, pression de l'eau adjacente ou de la gravité), et la viscosité du pétrole."
6,,Le débit de pétrole est souvent aidé par des pressions naturelles entourant les roches réservoirs dont celle du gaz naturel qui peut être dissous dans le pétrole
6,,Les pétroles ont tendance à être constitué d’une large gamme de viscosité des liquides légers comme l'essence au plus lourd comme le goudron.
6,,Les formes les plus légères ont tendance à entraîner des taux d'extraction plus élevés.
6,,Le génie pétrolier permet d'évaluer quels localisations et quels mécanismes de récupération sont appropriés pour un réservoir et d’estimer les taux de récupération et les réserves de pétrole avant l’extraction proprement dite.
6,,"Bien que le taux de récupération finale d'un puits ne puisse être connu avec certitude avant que ne cesse la production, les ingénieurs pétroliers estiment souvent un taux de récupération final sur la base de projection d’un taux de déclin annuel dans le futur."
6,,"Différents modèles, techniques et approximations mathématiques sont utilisés."
6,,Le taux de récupération final du gaz de schiste est difficile à prédire
6,,il est possible de choisir des méthodes de récupération qui ont tendance à sous-estimer le déclin du puits au-delà de ce qui est raisonnable.
6,,"Le gaz naturel est extrait avec plusieurs méthodes selon la géologie, incluant le forage vertical ou horizontal et la fracturation hydraulique."
6,,"Le forage vertical est la méthode d’extraction traditionnelle et était la seule disponible jusqu’aux années 1980,"
6,,"Le forage vertical est encore utilisé dans certains cas, quand les gisements se trouvent juste sous la surface."
6,,Les puits sont alors forés directement dans le sol jusqu’aux roches poreuses qui contiennent le gaz naturel.
6,,Le gaz naturel extrait de cette façon est dit « conventionnel ».
6,,Le forage horizontal a été utilisé au Texas à partir des années 1980 pour atteindre les gisements de gaz naturel auparavant inaccessibles.
6,,"En utilisant cette technologie, il est possible de courber un puits vertical à une profondeur cible, puis de forer horizontalement à travers le gisement de gaz naturel."
6,,"Lors de la fracturation hydraulique, un fluide est pompé dans le puits à haute pression pour briser la roche du gisement et libérer ainsi le gaz naturel."
6,,La majeure partie du gaz naturel de l’Ouest canadien est piégé dans des roches peu poreuses (ou « étanches ») comme le schiste.
6,,La fracturation hydraulique est nécessaire pour exploiter ces réserves.
6,,Le gaz naturel ainsi obtenu est dit « non conventionnel »
6,,"Quand un gisement de gaz naturel est retenu pour l’exploitation, le producteur négocie avec le propriétaire les droits d’accès en surface, et son équipe procède au forage du puits."
6,,"Si le gisement de gaz naturel se trouve en réservoir étanche, la fracturation hydraulique est nécessaire pour briser la roche et libérer le gaz naturel en surface."
6,,"Une fois que le gaz naturel s’écoule librement, le puits est complété en remplaçant l’équipement de forage par une tête de puits reliée à un gazoduc qui transportent le gaz naturel vers les installations de traitement."
6,,Le gaz naturel est distribué par gazoduc à des installations de traitement appelées usines à gaz.
6,,"Le gaz naturel y est séparé de l’eau, des impureté et d’autres gaz comme le sulfure d’hydrogène."
6,,"Certaines usines à gaz retirent aussi les liquides de gaz naturel (LGN) comme l’éthane, le propane et le butane."
6,,"Une fois le traitement du gaz naturel achevé, il est distribué aux consommateurs."
6,,Un réseau de gazoducs achemine le gaz naturel de façon sécuritaire des usines de traitement jusqu’aux utilisateurs finaux. 
6,,"Les plus gros gazoducs, qui traversent souvent les frontières provinciales, sont appelés gazoducs de transport."
6,,"Une fois arrivé à destination, le gaz naturel est livré aux résidences et aux entreprises par les entreprises locales de distribution."
6,,Le gaz naturel peut aussi être entreposé dans des installations souterraines pour usage ultérieur.
6,,"Le gaz naturel n'est pas ""produit"" à proprement parler. Il s'agit plutôt d'une extraction suivie du raffinage d'une matière première disponible dans la nature. Ainsi, il existe plusieurs étapes essentielles avant d'obtenir du gaz naturel utilisable par les particuliers."
6,,"La recherche de gaz naturel et l'estimation des volumes renfermés reposent sur la sismologie : des capteurs spéciaux sont mobilisés pour enregistrer des données relatives à la propagation d'ondes de choc artificielles, permettant d'obtenir des informations sur les structures géologiques en présence."
6,,Des cartographies du sous-sol sont établies à partir de ces données pour évaluer la présence de gaz naturel.
6,,"Lorsque le gisement de gaz naturel est jugé suffisamment certain dans ses volumes et dans ses conditions économiques d'exploitation, les installations nécessaires à son exploitation peuvent être construites"
6,,puits d'extraction et gazoducs reliant les puits aux réseaux collecteurs.
6,,"L'opération d'extraction consiste à faire remonter à la surface le gaz naturel enfermé dans le sous-sol, en creusant un trou, parfois jusqu'a 6000 m de profondeur."
6,,"Un derrick de forage est installé, c'est une tour métallique pouvant atteindre 30 mètres de haut qui permettra d'insérer verticalement les tiges de forages."
6,,"La première tige est équipée d'un trépan à dents qui servira à creuser, dans le cas où la roche est très dure les dents peuvent être en diamant afin qu'elles ne cassent pas."
6,,"Dans de nombreux cas, le gaz naturel sortira des puits sans intervention extérieure du fait de la pression, mais certaines fois des équipements de pompage sont nécessaires"
6,,La détente de la tête du puit de gaz naturel permet la condensation d'une partie du produit récupéré
6,,"il s'agit des liquides de puits de gaz naturel, à partir desquels sont produites des substances de grande valeur, comme le naphta."
6,,"Le reste des produits, à l'état gazeux, est transporté par gazoduc vers l'unité de traitement du gaz naturel."
6,,Les infrastructures d'extraction du gaz naturel offshore sont plus coûteuses que celles déployées pour exploiter des gisements de gaz onshore.
6,,L'offshore requiert en effet des plateformes de forage et/ou des navires spéciaux.
6,,"Une fois le gaz extrait, la pression du circuit est ramenée à celle prévue pour le transport avant injection du gaz dans le gazoduc de transport."
6,,"Les installations du gaz naturel peuvent être situées plus ou moins en amont de la chaîne de valeur, à proximité des lieux d'extraction du gaz naturel ou des zones de consommation."
6,,Le traitement du gaz naturel revient à le déshydrater par point de rosée et à séparer ses composants
6,,Les condensats du gaz naturel (récupérés à l'état liquide à la sortie du puits) et le gaz de pétrole liquéfié sont les deux produits disposant de la plus grande valeur marchande.
12,,"Entreprise historique du territoire sarthois, LTR industries a repensé depuis quelques années, sa production de tabac reconstitué"
12,,pour s’adapter aux évolutions du marché et à la baisse de la consommation de cigarettes traditionnelles
12,,"LTR, trois lettres pour désigner l’activité de l’imposante société industrielle de Spay (80 ha) : Le Tabac Reconstitué"
12,,"Par le retraitement de fibres, de surplus issus de la production, on y recycle du tabac depuis près de soixante ans (naissance en 1963)."
12,,"Du tabac recomposé, vendu ensuite aux cigarettiers."
12,,"Propriété du groupe américain SWM qui compte également des usines de production de papiers spécifiques (industriels, tabac, packaging) implantées à Quimperlé, à Valence et dans l’Ariège, LTR industries connaît un rebond d’activité depuis 2019, après cinq années de creux."
12,,Une croissance retrouvée grâce au nouveau marché de cigarette chhauffée
12,,"LTR Industries est une entreprise française de l'industrie du tabac créée en 1963 sous le nom Le Tabac Reconstitué, dont l'acronyme forme ensuite son nouveau nom."
12,,"L'usine de tabac reconstitué de Spay, qui fabrique du tabac reconstitué à Spay dans les Pays de la Loire."
12,,"Les Papeteries de Mauduit, qui fabriquent du papier à cigarettes à Quimperlé en Bretagne"
12,,"En 1995, le groupe Kimberly-Clark opère une stratégie de recentrage en se séparant de ses activités liées au tabac par une opération de scission."
12,,"Celles-ci sont en effet considérées comme une menace juridique par une partie des actionnaires, en raison des effets nocifs du tabac pour la santé humaine"
12,,"Les activités liées au tabac de Kimberly-Clark, qui représentent 10 usines dans plusieurs pays et 5,5 % du chiffre d’affaires du groupe"
12,,Les Papeteries de Mauduit et l'usine de tabac reconstitué de Spay font partie des établissements ainsi séparés
